Refactoring Type,Original,Updated,Old Location,New Location,Old Method Line,New Method Line,Description,Commit,Location,Original Line,Updated Line,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines
Move Method,set_time,set_time,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,227.0,271.0, method set_time from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,init_membrane_potential,init_membrane_potential,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,265.0,283.0, method init_membrane_potential from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,reset_spikevars,reset_spikevars,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,311.0,326.0, method reset_spikevars from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,init_neurons,init_neurons,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,338.0,353.0, method init_neurons from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,get_layer_idx,get_layer_idx,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,369.0,383.0, method get_layer_idx from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,get_clamp_idx,get_clamp_idx,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,380.0,393.0, method get_clamp_idx from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,update_avg_variance,update_avg_variance,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,407.0,414.0, method update_avg_variance from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Move Method,update_b,update_b,snntoolbox/simulation/backends/inisim/inisim.py,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,426.0,430.0, method update_b from the module snntoolbox/simulation/backends/inisim/inisim.py was moved to class SpikeLayer of module snntoolbox/simulation/backends/inisim/inisim.py ,43d677e0468239fe0bc3dbd519700f516eb31681,,,,,,
Add Parameter,model_evaluation,model_evaluation,,,,,['The parameters [ x_data_path y_data_path ] are added to the method model_evaluation from the module tests/imagenet_test.py'],46b9dcf42ba27f402f059acbc801112749858805,tests/imagenet_test.py,19.0,19.0,,,
Add Parameter,plot_error_vs_time,plot_error_vs_time,,,,,['The parameters [ n ] are added to the method plot_error_vs_time from the module snntoolbox/io_utils/plotting.py'],4716b3d8bf7c7bda2dd10571da9a785856b12ef1,snntoolbox/io_utils/plotting.py,859.0,859.0,,,
Add Parameter,build,build,,,,,['The parameters [ verbose ] are added to the method build from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN'],4716b3d8bf7c7bda2dd10571da9a785856b12ef1,snntoolbox/target_simulators/INI_target_sim.py/SNN,84.0,88.0,,,
Rename Method,get_activations,get_activations_sample,,,,,['The method get_activations from the module snntoolbox/core/util.py is renamed to get_activations_sample'],4748447f23902a0ccdf2887f844b0b70af28de42,snntoolbox/core/util.py,122.0,153.0,,,
Add Parameter,load_assembly,load_assembly,,,,,['The parameters [ filename ] are added to the method load_assembly from the module snntoolbox/io/load.py'],4748447f23902a0ccdf2887f844b0b70af28de42,snntoolbox/io/load.py,268.0,267.0,,,
Add Parameter,normalize_parameters,normalize_parameters,,,,,['The parameters [ dataflow ] are added to the method normalize_parameters from the module snntoolbox/core/util.py'],476631a9fc327298c3af204080072bfa90166c90,snntoolbox/core/util.py,193.0,213.0,,,
Add Parameter,evaluate,evaluate,,,,,['The parameters [ dataflow ] are added to the method evaluate from the module snntoolbox/model_libs/lasagne_input_lib.py'],476631a9fc327298c3af204080072bfa90166c90,snntoolbox/model_libs/lasagne_input_lib.py,274.0,274.0,,,
Add Parameter,run,run,,,,,['The parameters [ dataflow ] are added to the method run from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN'],476631a9fc327298c3af204080072bfa90166c90,snntoolbox/target_simulators/INI_target_sim.py/SNN,147.0,147.0,,,
Remove Parameter,__init__,__init__,,,,,['The parameters [ weights ] of the method __init__ from the module snntoolbox/core/inisim.py in class SpikeDense is/are removed'],49fa8873daaf9197306f3cbfa720fa06b4555a6c,snntoolbox/core/inisim.py/SpikeDense,382.0,413.0,,,
Remove Parameter,__init__,__init__,,,,,['The parameters [ weights border_mode subsample ] of the method __init__ from the module snntoolbox/core/inisim.py in class SpikeConvolution2D is/are removed'],49fa8873daaf9197306f3cbfa720fa06b4555a6c,snntoolbox/core/inisim.py/SpikeConvolution2D,430.0,459.0,,,
Remove Parameter,__init__,__init__,,,,,['The parameters [ pool_size strides border_mode ] of the method __init__ from the module snntoolbox/core/inisim.py in class SpikeAveragePooling2D is/are removed'],49fa8873daaf9197306f3cbfa720fa06b4555a6c,snntoolbox/core/inisim.py/SpikeAveragePooling2D,498.0,523.0,,,
Remove Parameter,__init__,__init__,,,,,['The parameters [ pool_size strides border_mode ] of the method __init__ from the module snntoolbox/core/inisim.py in class SpikeMaxPooling2D is/are removed'],49fa8873daaf9197306f3cbfa720fa06b4555a6c,snntoolbox/core/inisim.py/SpikeMaxPooling2D,536.0,557.0,,,
Add Parameter,init_neurons,init_neurons,,,,,['The parameters [ time_var ] are added to the method init_neurons from the module snntoolbox/core/inisim.py'],49fa8873daaf9197306f3cbfa720fa06b4555a6c,snntoolbox/core/inisim.py,296.0,296.0,,,
Add Parameter,init_layer,init_layer,,,,,['The parameters [ layer_type ] are added to the method init_layer from the module snntoolbox/core/inisim.py'],4ac47a08b848f02719bcbfe448923fb5396b9a68,snntoolbox/core/inisim.py,204.0,205.0,,,
Add Parameter,maxpool_exp,maxpool_exp,,,,,['The parameters [ online_normalize ] are added to the method maxpool_exp from the module snntoolbox/tests/pooling_exps.py'],4fc2c1307705b885f45f8b76d2305c9e01b9b427,snntoolbox/tests/pooling_exps.py,21.0,21.0,,,
Change/Rename Parameter,get_scale_fac,get_scale_fac,,,,,['The parameters [ idx ] of the method get_scale_fac from the module snntoolbox/core/util.py are changed/renamed to [percentile]'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/core/util.py,754.0,508.0,,,
Add Parameter,normalize_parameters,normalize_parameters,,,,,['The parameters [ config ] are added to the method normalize_parameters from the module snntoolbox/core/util.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/core/util.py,408.0,146.0,,,
Add Parameter,spiketrains_to_rates,spiketrains_to_rates,,,,,['The parameters [ duration ] are added to the method spiketrains_to_rates from the module snntoolbox/core/util.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/core/util.py,353.0,88.0,,,
Rename Method,load_dataset,load_npz,,,,,['The method load_dataset from the module snntoolbox/io_utils/common.py is renamed to load_npz'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/common.py,73.0,205.0,,,
Add Parameter,get_pearson_coefficients,get_pearson_coefficients,,,,,['The parameters [ max_rate ] are added to the method get_pearson_coefficients from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,438.0,457.0,,,
Add Parameter,output_graphs,output_graphs,,,,,['The parameters [ config ] are added to the method output_graphs from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,27.0,23.0,,,
Add Parameter,plot_activations,plot_activations,,,,,['The parameters [ path ] are added to the method plot_activations from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,285.0,297.0,,,
Add Parameter,plot_error_vs_time,plot_error_vs_time,,,,,['The parameters [ duration dt ] are added to the method plot_error_vs_time from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,911.0,944.0,,,
Add Parameter,plot_layer_correlation,plot_layer_correlation,,,,,['The parameters [ config ] are added to the method plot_layer_correlation from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,342.0,358.0,,,
Add Parameter,plot_layer_summaries,plot_layer_summaries,,,,,['The parameters [ config ] are added to the method plot_layer_summaries from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,101.0,107.0,,,
Add Parameter,plot_ops_vs_time,plot_ops_vs_time,,,,,['The parameters [ duration dt ] are added to the method plot_ops_vs_time from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,964.0,1001.0,,,
Add Parameter,plot_pearson_coefficients,plot_pearson_coefficients,,,,,['The parameters [ config ] are added to the method plot_pearson_coefficients from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,479.0,500.0,,,
Add Parameter,plot_potential,plot_potential,,,,,['The parameters [ config ] are added to the method plot_potential from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,816.0,845.0,,,
Add Parameter,plot_spikecount_vs_time,plot_spikecount_vs_time,,,,,['The parameters [ duration dt ] are added to the method plot_spikecount_vs_time from the module snntoolbox/io_utils/plotting.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/io_utils/plotting.py,995.0,1036.0,,,
Add Parameter,evaluate,evaluate,,,,,['The parameters [ batch_size num_to_test ] are added to the method evaluate from the module snntoolbox/model_libs/caffe_input_lib.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/model_libs/caffe_input_lib.py,394.0,177.0,,,
Rename Method,load_ann,load,,,,,['The method load_ann from the module snntoolbox/model_libs/caffe_input_lib.py is renamed to load'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/model_libs/caffe_input_lib.py,349.0,139.0,,,
Add Parameter,evaluate,evaluate,,,,,['The parameters [ batch_size num_to_test ] are added to the method evaluate from the module snntoolbox/model_libs/keras_input_lib.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/model_libs/keras_input_lib.py,278.0,134.0,,,
Rename Method,load_ann,load,,,,,['The method load_ann from the module snntoolbox/model_libs/keras_input_lib.py is renamed to load'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/model_libs/keras_input_lib.py,228.0,87.0,,,
Add Parameter,evaluate,evaluate,,,,,['The parameters [ batch_size num_to_test ] are added to the method evaluate from the module snntoolbox/model_libs/lasagne_input_lib.py'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/model_libs/lasagne_input_lib.py,491.0,176.0,,,
Rename Method,model_from_py,load,,,,,['The method model_from_py from the module snntoolbox/model_libs/lasagne_input_lib.py is renamed to load'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/model_libs/lasagne_input_lib.py,441.0,127.0,,,
Remove Parameter,build,build,,,,,['The parameters [ verbose ] of the method build from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN is/are removed'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/target_simulators/INI_target_sim.py/SNN,95.0,92.0,,,
Change/Rename Parameter,get_samples_from_list,get_samples_from_list,,,,,['The parameters [ settings ] of the method get_samples_from_list from the module snntoolbox/target_simulators/common.py are changed/renamed to [config]'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,snntoolbox/target_simulators/common.py,8.0,8.0,,,
Rename Method,path_wd,_path_wd,,,,,['The method path_wd from the module tests/core/conftest.py is renamed to _path_wd'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,tests/core/conftest.py,26.0,27.0,,,
Remove Parameter,test_simulating,test_simulating,,,,,['The parameters [ path_wd settings ] of the method test_simulating from the module tests/core/test_models.py in class TestOutputModel is/are removed'],50574a55ac43f0dc7bd284f7f9525720ffebfd3c,tests/core/test_models.py/TestOutputModel,43.0,63.0,,,
Move Method,binary_sigmoid,binary_sigmoid,snntoolbox/core/util.py,snntoolbox/model_libs/common.py,61.0,661.0, method binary_sigmoid from the module snntoolbox/core/util.py was moved to module snntoolbox/model_libs/common.py ,50574a55ac43f0dc7bd284f7f9525720ffebfd3c,,,,,,
Add Parameter,output_graphs,output_graphs,,,,,['The parameters [ i ] are added to the method output_graphs from the module snntoolbox/io_utils/plotting.py'],530351a1abb5f87623c1d66f0e276e4245ea9f4f,snntoolbox/io_utils/plotting.py,446.0,446.0,,,
Add Parameter,collect_plot_results,collect_plot_results,,,,,['The parameters [ idx ] are added to the method collect_plot_results from the module snntoolbox/target_simulators/brian2_target_sim.py in class SNN_compiled'],530351a1abb5f87623c1d66f0e276e4245ea9f4f,snntoolbox/target_simulators/brian2_target_sim.py/SNN_compiled,377.0,378.0,,,
Add Parameter,collect_plot_results,collect_plot_results,,,,,['The parameters [ idx ] are added to the method collect_plot_results from the module snntoolbox/target_simulators/pyNN_target_sim.py'],530351a1abb5f87623c1d66f0e276e4245ea9f4f,snntoolbox/target_simulators/pyNN_target_sim.py,623.0,624.0,,,
Add Parameter,norm_parameters,norm_parameters,,,,,['The parameters [ idx ] are added to the method norm_parameters from the module snntoolbox/core/util.py'],55fc3ab52107087c6e49188b5e45643cb9137ae1,snntoolbox/core/util.py,142.0,142.0,,,
Rename Method,evaluate_parsed,evaluate,,,,,['The method evaluate_parsed from the module snntoolbox/parsing/utils.py in class AbstractModelParser is renamed to evaluate'],5674624ac64d59943fea5ba301411c46786c94c8,snntoolbox/parsing/utils.py/AbstractModelParser,663.0,663.0,,,
Add Parameter,load_settings,load_settings,,,,,['The parameters [ s ] are added to the method load_settings from the module snntoolbox/gui/gui.py in class SNNToolboxGUI'],5f13d162d4efcdad9e6c0f740bbb6c0f92ed6f5e,snntoolbox/gui/gui.py/SNNToolboxGUI,1247.0,1263.0,,,
Remove Parameter,run,run,,,,,['The parameters [ kwargs ] of the method run from the module snntoolbox/target_simulators/pyNN_target_sim.py in class SNN is/are removed'],5f13d162d4efcdad9e6c0f740bbb6c0f92ed6f5e,snntoolbox/target_simulators/pyNN_target_sim.py/SNN,272.0,273.0,,,
Extract Method,get_clamp_idx,get_layer_idx,,,,, The method get_layer_idx from the module snntoolbox/core/inisim.py is extracted from method get_clamp_idx from the module snntoolbox/core/inisim.py ,603f176072e5ec2d197bfd9ad1693026c16e728e,snntoolbox/core/inisim.py,,,"(383,394)",384.0,"[400.0, 401.0, 402.0, 403.0, 404.0]"
Remove Parameter,init_layer,init_layer,,,,,['The parameters [ layer_type ] of the method init_layer from the module snntoolbox/core/inisim.py is/are removed'],617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,snntoolbox/core/inisim.py,252.0,252.0,,,
Rename Class,SpikeConv2DReLU,SpikeConvolution2D,,,,, class SpikeConv2DReLU was renamed to class SpikeConvolution2D ,617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,snntoolbox/core/inisim.py,,,,,
Rename Class,MaxPool2DReLU,SpikeMaxPooling2D,,,,, class MaxPool2DReLU was renamed to class SpikeMaxPooling2D ,617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,snntoolbox/core/inisim.py,,,,,
Rename Class,AvgPool2DReLU,SpikeAveragePooling2D,,,,, class AvgPool2DReLU was renamed to class SpikeAveragePooling2D ,617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,snntoolbox/core/inisim.py,,,,,
Change/Rename Parameter,get_sample_activity_from_batch,get_sample_activity_from_batch,,,,,['The parameters [ i ] of the method get_sample_activity_from_batch from the module snntoolbox/core/util.py are changed/renamed to [idx]'],617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,snntoolbox/core/util.py,133.0,186.0,,,
Rename Class,SNN_compiled,SNN,,,,, class SNN_compiled was renamed to class SNN ,617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,snntoolbox/target_simulators/INI_target_sim.py,,,,,
Rename Class,SNN_compiled,SNN,,,,, class SNN_compiled was renamed to class SNN ,617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,snntoolbox/target_simulators/MegaSim_target_sim.py,,,,,
Move Method,get_activ_fn_for_layer,get_activ_fn_for_layer,snntoolbox/model_libs/keras_input_lib.py,snntoolbox/core/util.py,193.0,372.0, method get_activ_fn_for_layer from the module snntoolbox/model_libs/keras_input_lib.py was moved to module snntoolbox/core/util.py ,617dfcacaaa2f74968d4162c3c4e2c2b9b3b6745,,,,,,
Remove Parameter,init_neurons,init_neurons,,,,,['The parameters [ tau_refrac ] of the method init_neurons from the module snntoolbox/simulation/backends/inisim/inisim.py in class SpikeLayer is/are removed'],635f17552b1ec902337a43c4b4b1ae34fd0672ab,snntoolbox/simulation/backends/inisim/inisim.py/SpikeLayer,362.0,354.0,,,
Add Parameter,plot_spiketrains,plot_spiketrains,,,,,['The parameters [ dt ] are added to the method plot_spiketrains from the module snntoolbox/simulation/plotting.py'],635f17552b1ec902337a43c4b4b1ae34fd0672ab,snntoolbox/simulation/plotting.py,789.0,790.0,,,
Add Parameter,get_custom_activations_dict,get_custom_activations_dict,,,,,['The parameters [ filepath ] are added to the method get_custom_activations_dict from the module snntoolbox/parsing/utils.py'],66268ffdc847e64216114871bd4169ad7872966a,snntoolbox/parsing/utils.py,1192.0,1210.0,,,
Add Parameter,get_fanout_array,get_fanout_array,,,,,['The parameters [ is_depthwise_conv ] are added to the method get_fanout_array from the module snntoolbox/parsing/utils.py'],66268ffdc847e64216114871bd4169ad7872966a,snntoolbox/parsing/utils.py,1040.0,1049.0,,,
Add Parameter,plot_spiketrains,plot_spiketrains,,,,,['The parameters [ data_format ] are added to the method plot_spiketrains from the module snntoolbox/simulation/plotting.py'],66268ffdc847e64216114871bd4169ad7872966a,snntoolbox/simulation/plotting.py,816.0,820.0,,,
Add Parameter,set_biases,set_biases,,,,,['The parameters [ biases ] are added to the method set_biases from the module snntoolbox/simulation/target_simulators/pyNN_target_sim.py in class SNN'],66268ffdc847e64216114871bd4169ad7872966a,snntoolbox/simulation/target_simulators/pyNN_target_sim.py/SNN,208.0,248.0,,,
Move Method,get_pearson_coefficients,get_pearson_coefficients,snntoolbox/simulation/plotting.py,snntoolbox/utils/utils.py,496.0,624.0, method get_pearson_coefficients from the module snntoolbox/simulation/plotting.py was moved to module snntoolbox/utils/utils.py ,67a4922cc8eb43be0d74aabb8c26e8298e4040b7,,,,,,
Remove Parameter,get_output,get_output,,,,,['The parameters [ train ] of the method get_output from the module snntoolbox/core/inisim.py in class SpikeFlatten is/are removed'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/core/inisim.py/SpikeFlatten,372.0,360.0,,,
Remove Parameter,get_output,get_output,,,,,['The parameters [ train ] of the method get_output from the module snntoolbox/core/inisim.py in class SpikeDense is/are removed'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/core/inisim.py/SpikeDense,401.0,392.0,,,
Remove Parameter,get_output,get_output,,,,,['The parameters [ train ] of the method get_output from the module snntoolbox/core/inisim.py in class SpikeConvolution2D is/are removed'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/core/inisim.py/SpikeConvolution2D,437.0,429.0,,,
Remove Parameter,get_output,get_output,,,,,['The parameters [ train ] of the method get_output from the module snntoolbox/core/inisim.py in class SpikeAveragePooling2D is/are removed'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/core/inisim.py/SpikeAveragePooling2D,499.0,492.0,,,
Remove Parameter,get_output,get_output,,,,,['The parameters [ train ] of the method get_output from the module snntoolbox/core/inisim.py in class SpikeMaxPooling2D is/are removed'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/core/inisim.py/SpikeMaxPooling2D,536.0,530.0,,,
Rename Method,__scrollHandler,__scroll_handler,,,,,['The method __scrollHandler from the module snntoolbox/gui/gui.py in class SNNToolboxGUI is renamed to __scroll_handler'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/gui/gui.py/SNNToolboxGUI,1424.0,1428.0,,,
Remove Parameter,about,about,,,,,['The parameters [ self ] of the method about from the module snntoolbox/gui/gui.py in class SNNToolboxGUI is/are removed'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/gui/gui.py/SNNToolboxGUI,1130.0,1133.0,,,
Change/Rename Parameter,check_file,check_file,,,,,['The parameters [ P ] of the method check_file from the module snntoolbox/gui/gui.py in class SNNToolboxGUI are changed/renamed to [p]'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/gui/gui.py/SNNToolboxGUI,1325.0,1329.0,,,
Change/Rename Parameter,check_runlabel,check_runlabel,,,,,['The parameters [ P ] of the method check_runlabel from the module snntoolbox/gui/gui.py in class SNNToolboxGUI are changed/renamed to [p]'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/gui/gui.py/SNNToolboxGUI,1404.0,1379.0,,,
Change/Rename Parameter,check_sample,check_sample,,,,,['The parameters [ P ] of the method check_sample from the module snntoolbox/gui/gui.py in class SNNToolboxGUI are changed/renamed to [p]'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/gui/gui.py/SNNToolboxGUI,1309.0,1313.0,,,
Remove Parameter,documentation,documentation,,,,,['The parameters [ self ] of the method documentation from the module snntoolbox/gui/gui.py in class SNNToolboxGUI is/are removed'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/gui/gui.py/SNNToolboxGUI,1125.0,1127.0,,,
Rename Method,toggle_state_pyNN,toggle_state_pynn,,,,,['The method toggle_state_pyNN from the module snntoolbox/gui/gui.py in class SNNToolboxGUI is renamed to toggle_state_pynn'],685a0adbc8cc2eba6d18dbc6b771b9c61f4ca3e6,snntoolbox/gui/gui.py/SNNToolboxGUI,1432.0,1436.0,,,
Change/Rename Parameter,__init__,__init__,,,,,['The parameters [ num_events_per_sample ] of the method __init__ from the module snntoolbox/datasets/aedat/DVSIterator.py in class DVSIterator are changed/renamed to [num_events_per_frame]'],6c9b398c4e0bd1f38341c017a29adb530c9fef2d,snntoolbox/datasets/aedat/DVSIterator.py/DVSIterator,14.0,14.0,,,
Change/Rename Parameter,extract_batch,extract_batch,,,,,['The parameters [ num_events_per_sample ] of the method extract_batch from the module snntoolbox/datasets/aedat/DVSIterator.py are changed/renamed to [num_events_per_frame]'],6c9b398c4e0bd1f38341c017a29adb530c9fef2d,snntoolbox/datasets/aedat/DVSIterator.py,133.0,137.0,,,
Extract Method,get_log_keys,config_string_to_set_of_strings,,,,, The method config_string_to_set_of_strings from the module snntoolbox/bin/utils.py is extracted from method get_log_keys from the module snntoolbox/bin/utils.py ,702adcba8c8d6dd0dad1bbdf7779b8d3d22e97d2,snntoolbox/bin/utils.py,,,"(539,546)",554.0,[540.0]
Rename Method,normalize_weights,normalize_parameters,,,,,['The method normalize_weights from the module snntoolbox/core/model.py in class SNN is renamed to normalize_parameters'],7084c5757b126d9aa1c4b6c39f843094643df965,snntoolbox/core/model.py/SNN,178.0,178.0,,,
Rename Method,save_weights,save_parameters,,,,,['The method save_weights from the module snntoolbox/core/model.py in class SNN is renamed to save_parameters'],7084c5757b126d9aa1c4b6c39f843094643df965,snntoolbox/core/model.py/SNN,328.0,330.0,,,
Rename Method,load_weights,load_parameters,,,,,['The method load_weights from the module snntoolbox/io_utils/load.py is renamed to load_parameters'],7084c5757b126d9aa1c4b6c39f843094643df965,snntoolbox/io_utils/load.py,23.0,23.0,,,
Remove Parameter,linear_activation,linear_activation,,,,,['The parameters [ impulse ] of the method linear_activation from the module snntoolbox/core/inisim.py is/are removed'],71e33c946346c9f017f2b31e3d3e5e8a70fc4391,snntoolbox/core/inisim.py,86.0,96.0,,,
Remove Parameter,softmax_activation,softmax_activation,,,,,['The parameters [ impulse ] of the method softmax_activation from the module snntoolbox/core/inisim.py is/are removed'],71e33c946346c9f017f2b31e3d3e5e8a70fc4391,snntoolbox/core/inisim.py,113.0,129.0,,,
Remove Parameter,update_neurons,update_neurons,,,,,['The parameters [ impulse ] of the method update_neurons from the module snntoolbox/core/inisim.py is/are removed'],71e33c946346c9f017f2b31e3d3e5e8a70fc4391,snntoolbox/core/inisim.py,59.0,59.0,,,
Change/Rename Parameter,update_neurons,update_neurons,,,,,['The parameters [ previous_error ] of the method update_neurons from the module snntoolbox/tests/rate_simulation_iulia.py in class Layer are changed/renamed to [prev_layer_payload]'],74234df1f422cf85dff82a2f7b2b9c1e47358826,snntoolbox/tests/rate_simulation_iulia.py/Layer,50.0,43.0,,,
Add Parameter,reset,reset,,,,,['The parameters [ sample_idx ] are added to the method reset from the module snntoolbox/core/inisim.py in class SpikeConcatenate'],74cbc5f9153113a4a08a389e7d604f55a2647b1b,snntoolbox/core/inisim.py/SpikeConcatenate,442.0,450.0,,,
Add Parameter,reset,reset,,,,,['The parameters [ sample_idx ] are added to the method reset from the module snntoolbox/core/inisim.py in class SpikeFlatten'],74cbc5f9153113a4a08a389e7d604f55a2647b1b,snntoolbox/core/inisim.py/SpikeFlatten,463.0,471.0,,,
Add Parameter,reset,reset,,,,,['The parameters [ sample_idx ] are added to the method reset from the module snntoolbox/core/inisim.py in class SpikeDense'],74cbc5f9153113a4a08a389e7d604f55a2647b1b,snntoolbox/core/inisim.py/SpikeDense,540.0,548.0,,,
Add Parameter,reset,reset,,,,,['The parameters [ sample_idx ] are added to the method reset from the module snntoolbox/core/inisim.py in class SpikeConv2D'],74cbc5f9153113a4a08a389e7d604f55a2647b1b,snntoolbox/core/inisim.py/SpikeConv2D,618.0,626.0,,,
Add Parameter,reset,reset,,,,,['The parameters [ sample_idx ] are added to the method reset from the module snntoolbox/core/inisim.py in class SpikeAveragePooling2D'],74cbc5f9153113a4a08a389e7d604f55a2647b1b,snntoolbox/core/inisim.py/SpikeAveragePooling2D,681.0,689.0,,,
Add Parameter,reset_spikevars,reset_spikevars,,,,,['The parameters [ sample_idx ] are added to the method reset_spikevars from the module snntoolbox/core/inisim.py'],74cbc5f9153113a4a08a389e7d604f55a2647b1b,snntoolbox/core/inisim.py,331.0,337.0,,,
Add Parameter,reset,reset,,,,,['The parameters [ sample_idx ] are added to the method reset from the module snntoolbox/target_simulators/INI_target_sim.py in class SNN'],74cbc5f9153113a4a08a389e7d604f55a2647b1b,snntoolbox/target_simulators/INI_target_sim.py/SNN,573.0,578.0,,,
